	tweets	isRoadIncident
174	chicken; more pulses	0.0
175	KANSAS TURNPIKE TRAFFIC ALERT: SB traffic south of Emporia backed up due to both construction and eclipse traffic. USE CAUTION	1.0
176	 I always just told my self it was probably your grandpa.	0.0
177	Why body will not pull up either or	0.0
178	Bengal in a fix over bars: pay for repairs	0.0
179	We're underway in game #! Matt McDonough starts us off with a K. #ItsSunny #ALittleChilly #HeyBench 	0.0
180	Traffic Advisory: Road Closure on Oak Drive and Towers Road on Tuesday, August . (via 	1.0
181	Modi govt to consult on before talking to	0.0
182	ministers: transport minister Nitin Gadkari after Cabinet meet.	0.0
183	How 4000 Punjab cops spent night preventing by filling breach in wall with	0.0
184	Karnataka	0.0
185	Currently enjoying the all new #TheFosters	0.0
186	Updated: Crash in Marion on highway north at MM and traffic backed up until MM , all lanes blocked. Last...	1.0
187	Lanes closed at 36th and Lewis due to hole in roadway. Crews on scene. blames heavy rain, suggests… 	1.0
188	 We're so sorry for any frustration. What is your order #? We'd be happy to check on it for you.	0.0
189	#I10 westbound at milepost near the Texas border is still closed due to #Harvey flood water. Please avoid the are… 	0.0
190	Snoqualmie: Rock blasting closures scheduled Tuesday Aug. , is cancelled. Closures planned Wednesday Aug. , and 	1.0
191	Security on border put at risk by trade.	0.0
192	b/d S57 buses are detoured due to paving on Guyon Av from Hylan Blvd to South Railroad. Details at 	1.0
193	What means to Mathew Hayden.	0.0
194	How sword-wielding processions left gaping.	0.0
195	highway MM . SB near highway / mile Left lanes slow hours due to maintenance work	1.0
196	Crusader pleads for saving	0.0
197	never wanted cows to become a burden on farmers	0.0
198	 tomorrow night Hurricane's coming!#QueenSugar	0.0
199	Close your eyes. Open a telephone directory. Point at the page. Open your eyes. That's the name of the person who c… 	0.0
200	 Sound's like a plan, Morgan. If you haven't yet reserved, click here to reserve: 	0.0
201	"So stop telling people to come out and be out and disclose until y'all make it safe to do so.

Rest in power Dexter "	0.0
202	Construction on #US40 Both directions from NJ /CR to East of NJ /CR 	1.0
203	After SC ban	0.0
204	carcasses found at home of govt doctor into drugs.	0.0
205	writes Sonia Sarkar.	0.0
206	"#NEW #99c ""a must read of "" ""truly captivating"" Clandestine by  "	0.0
207	An aerial view of the Cranbrook campus during construction, circa : 🕰️… 	0.0
208	Closed due to road construction in #Town&amp;Country on N Monroe St Both NB/SB at WA- and W Central Ave #traffic 	1.0
209	"Coach Jim Meyer talks about the art of coaching and much more on today's #CoachandCoordinator podcast.

🎧:… "	0.0
210	#NAFTA—setting targets for bilat. trade accounts would make a mockery of an agreement intended to liberalize trade 	0.0
211	Lane closures at highway/northbound highway in Spencer begin Aug. #iatraffic 	1.0
212	Govt looking at getting Sena MP out of list.	0.0
213	Crash cleared on highway WB @ MP . past SR , 15th St E in Tuscaloosa	1.0
214	Beetle from grips litchi crop in	0.0
215	Updated: Construction on #I87MajorDeeganExpressway SB at West Kingsbridge Road 	1.0
216	SD-: ROAD CLOSED btwn .1mi N of US16 W and US16 &amp; 16A-Custer.	1.0
217	Disabled vehicle, right lane blocked in #Dekalb on highway NB near Memorial Dr, stop and go traffic back to Indian Crk Marta Station	1.0
218	Incident on #JLine Both directions at Delancey Street-Essex Street Station 	1.0
219	Militant wing welcomes but asks him not to speak against	0.0
220	🚨 earns a corner and makes the best of it! Now lead -.  	0.0
221	I can't even make a simple beat and talk at the same time 	0.0
222	Rule # : Never date a girl with daddy issues	0.0
223	To know about the safety features of watch special interview with Dr. Ajay Bhushan Pandey	0.0
224	   Oh, that explains why there's a specialist in the area and successfully cases.	0.0
225	Even benchmark for pro-poor leader seems to be	0.0
226	highway WB: Roadway reduced to one lane at Exit - highway; highway (Davenport). Width limit in effect. 	1.0
227	this baby at Calcutta has died.	0.0
228	A super busy street?? Okay let's go from lanes to &amp; make it impossible to turn left anywhere!! TN logic 🙃🙃🙃 	0.0
229	Cops dug out these to healers who were buried alive for practising	0.0
230	Page for all things #Irma that includes safety info, social media, and forecasts. 	0.0
231	electile dysfunction	0.0
232	jawan Tej Bahadur Yadav	0.0
233	Air India to tighten security at Mumbai Pune as threatens to stall airline's operations there.	0.0
234	worries about unsold stocks.	0.0
235	Just spoke with António Guterres. He will be an outstanding Secretary-General, and the U.S. looks forward to working closely with him.	0.0
236	Lok Sabha adjourned for 3rd time till 1.50pm as Opposition uproar over leader Tarun Vijay's remarks continues.	0.0
237	Updated | MILWAUKEE Co | Crash | highway WB | WIS -LOOMIS RD | Left Lane | 	1.0
238	India's old ties with should continue to be nurtured	0.0
239	Updated: Construction on #SagtikosStateParkway SB from Exit SM2 - NY ; Veterans Memorial Parkway; Harned Road...	1.0
240	In awe...still...#WorldOfDance every Tuesday at 10pm on NBC! #LetsDance 	0.0
241	Accident, left lane blocked in #CottageGrove on Hwy EB at Innovation Rd #traffic 	1.0
242	best colleges and varsities	0.0
243	Updated: Traffic congestion in Osceola on Floridas Turnpike north from beyond SR70/Ft Pierce to ramp to Exit ...	1.0
244	In 7 Days: QA with Ram Madhav	0.0
245	 Washington D.C. didn't appreciate it. GW himself died well before its construction. 	0.0
246	COMPLETE highway MM . EB near highway / mile Left lanes closed hours due to construction work	1.0
247	New: Emergency vehicles in Miami-Dade on Express north before SR-/Miami Gardens Dr, all lanes blocked. Last...	1.0
248	"Crash
NB SR- at Clinton Landing (Lake Point) Tooele Co.
Left Shoulder
Est. Clearance Time: : PM"	1.0
249	"Maui Co, Hawaii: Police &amp; community members left ""baffled"" by stealth move to allow / alcohol sales h/t "	0.0
250	Disabled vehicle, center lane blocked in #Fulton on highway NB at Edgewood Ave #ATLTraffic 	1.0
251	States rename roads to duck ban on but top court won't step in till after summer break.	0.0
252	Other incident on PA southbound between Exit - Burtner Rd and Exit: highway - East Ohio Street. There is a traffic disruption.	1.0
253	There’s back to school—and then there’s back to school #Polo style. #RLKids 	0.0
254	 We're sorry to hear this, Andreas. Please contact your local Workshop at: to have this looked at.	0.0
255	AND so it begins...WATCH. TWEET. TREND #WorldOfDance #LetsDance 	0.0
256	Incident on #I495 WB from Exit 22B - Van Wyck Expwy highway / College Point Blvd to Exit - Woodhaven Boulevard /...	1.0
257	 We're here to assist with any questions or concerns. DM us. We're looking forward to hearing from you. ^ShamW	0.0
258	Lanes closed on SR and Live Oak and at Highland Ave for an unknown duration of time. Expect delays	1.0
259	KP Nayar on why discrediting military justice system will not help case.	0.0
260	On electile dysfunction (among losers)	0.0
261	"Vehicle Accident on Northbound highway NB at Mile Marker ..

 of northbound lanes are closed.

Comments:
LANES CLOSED USE DETOUR A."	1.0
262	State Route W in Shelby Co at MM  at : AM / est clear by : AM / (CT	1.0
263	Raje's Stock-home syndrome	0.0
264	The center lane is blocked highway East at the Red River Bridge due to a stalled vehicle. Congestion has reached Common Street.	1.0
265	Why the always meets this man when he visits eastern India.	0.0
266	Turnpike Roadwork on Pennsylvania Turnpike PA southbound between Exit - PA and Exit - Coyle Curtain Rd/To PA affecting the	1.0
267	WAAF is now available on Smart Speakers everywhere! Go to for more info! 	0.0
268	Virulent are going against India's culture (and census)	0.0
269	Woodlawn Rd, Welland between First and Graham St blocked by fallen telephone pole	1.0
270	Family of man shot at RTD light-rail station says his death was suicide by cop 	0.0
271	And there you have it! The 99G LadyHounds are  #NationalCupXVI SuperGroup NATIONAL CHAMPIONS!	0.0
272	Update: all lanes open for highway eastbound @ MM 	1.0
273	a love story	0.0
274	In her latest blog, our CEO shares programs that can help prepare you for a #career in aerospace:… 	0.0
275	OKC: I40 EB JW Martin Luther King is cleared..teg 	1.0
276	What exactly is a Hybrid Airship? We’ll explain: 	0.0
277	 Ag Outlook Forum: How land tenure &amp; transition can transform the rural economy 	0.0
278	Incident: NB on highway at MM89 in Hanover Co. No lanes closed.:04AM	1.0
279	The untold love story of and Ayesha Mukherjee.	0.0
280	".  every woman needs this message. Save Your Soul first!
#SuperSoulSunday"	0.0
281	Congratulations to on receiving the #NobelPeacePrize in recognition of his courageous commitment to bring peace to #Colombia.	0.0
282	10 years	0.0
283	. The mainstream media is neglecting their duty to represent the public. They've failed to represe… 	0.0
284	So	0.0
285	Why invest in US? Culture of #innovation, productive work force &amp; world’s largest consumer market. Learn more at… 	0.0
286	Can Air India enforce fines on unruly passengers for	0.0
287	send him booty pics throughout the day***** 	0.0
288	 Fifth Avenue Berlin, NH now has a new price of $,! 	0.0
289	"Children need access to clean water.
Their lives depend on it.
#WWWeek 💧 "	0.0
290	Updated: Crash in Duval on highway north before Union St, right lane blocked. Last updated at ::54PM. 	1.0
291	Accident with injury in #Destrehan on highway at E Harding St #traffic #NOLA 	1.0
292	Leander and Mahesh get away	0.0
293	quoting BBC	0.0
294	"One week from today at this time - vs 
 "	0.0
295	Correction: The exit ramp from highway East to Orleans Avenue is closed due to an accident. Congestion is minimal.	1.0
296	LIVE NOW! Exploring the Central Pacific Basin #deepwater #Pacific #ROV #Samoa #highseas 	0.0
297	Andhra govt to turn a into a museum.	0.0
298	OKC: I40 EB Anderson are two separate accidents. The roadway is clear..teg	1.0
299	 Who’s on MVP duty for Allison? Any takers?	0.0
300	mutton	0.0
301	however	0.0
302	Government cannot make mandatory for extending benefits of its welfare schemes:	0.0
303	livid.	0.0
304	 glucose, &amp; then into fructose. Hope this info helps. Thanks for getting in touch!	0.0
305	Do parents still model news consumption? A look at teens’ news habits: 	0.0
306	ALDOT has scheduled the closure of the highway EB Water St. on-ramp for Thurs. afternoon /. Details:… 	1.0
307	Guest View: NFL does disservice to Colin Kaepernick 	0.0
308	These are things that will get cheaper costlier for you from April 1	0.0
309	Latest attacks on African students threaten India's most intense diplomatic outreach to continent	0.0
310	Cleared: Construction on #I81 Both directions from Exit - CR ; Kirkwood to Exit  - Broad Avenue West	1.0
311	Cleared | OUTAGAMIE Co | Other | highway NB/SB | County U | Left Lane | 	1.0
312	On epic migration campaign that ended its slaughter in pit stop.	0.0
313	Hurry % Off - Labor Day Sale! 	0.0
314	Bihar sets Rs25lakh fee for who skip after subsidised education.	0.0
315	Insurers and consumers benefit from lower costs when some medical providers are excluded from insurance networks 	0.0
316	Rivals govts unite to act against sex-determination tests.	0.0
317	 Hi Dave, airport security is subject to change, however we've returned to our recommended times: SB	0.0
318	What Supreme Court said about welfare schemes and proof.	0.0
319	U.S. to review lifting of sanctions on Iran: Tillerson	0.0
320	Disabled Tractor Trailer: NB on highway at MM238 in Rockingham Co. No lanes closed.:24PM	1.0
321	From #AMUG2017 to Materialise World Summit, BASF continues its journey to create the unexpected. #MWS17 in Brussels… 	0.0
322	No from now on cars of PM	0.0
323	#Kenya #corn, #wheat &amp; #rice production should recover in MY2017/ after severe drought in MY /. 	0.0
324	 Oh well done, Sam. I'd say good luck but you know...	0.0
325	highway MM . EB near SR /mile Right lane closed days due to construction work	1.0
326	Cleared: Incident: NB on highway at MM88 in Hanover Co.:30AM	1.0
327	Jacksonville: The Hart Bridge WB is closed due to bridge work. Use caution and find an alternate route. 	1.0
328	Adityanath's rise	0.0
329	On highway northbound at Pacific Ave there is a disabled vehicle blocking the right lane.	1.0
330	home truths	0.0
331	‘Queen Sugar’ Ratings Score Core Demo Series High With Season Premiere 	0.0
332	UPDATE: All lanes blocked again on EB SR . Use alternate routes! 	1.0
333	New: Planned construction in Broward on highway north beyond Hallandale Beach Blvd, left lane blocked. Last...	1.0
334	Incident on #MLine BothDir/BothDir from Lexington Avenue-53rd Street Station to W 4th Street-Washington Square...	1.0
335	going through paces of decommissioing. Very poignant moment for IN/ air arm - to give a send off to a true War Horse	0.0
336	Construction on NJ both directions between CR /Fish House Rd and North of Wittpenn Bridge left lane closed for repairs until PM	1.0
337	UP female cops take selfies while guarding acid attack victim in hospital	0.0
338	Army under fire after alleged tactic in	0.0
339	Accident at on ramp of at Scalp Ave. 	1.0
340	Chipotle suspends pork sales over pig treatment 	0.0
341	Discover the world of #CartierinMotion through the eyes of curator Norman Foster. 	0.0
342	UPDATE: highway EB lane open near Rte in Greensville County #hrtraffic	1.0
343	ORE217, Mi S of US26, Off Ramp, Closed, Road maint ops are occurring that has the Greenburg exit ramp closed, u... 	1.0
344	"I would love to show you my listing at IROQUOIS CT Baraboo, WI.
(YouTube Video:... "	0.0
345	Closure on #US19TonnelleAvenue SB at Manhattan Av 	1.0
346	India	0.0
347	demands Presidential rule	0.0
348	Calcutta's timekeepers	0.0
349	ORE99E, Portland, Delay &lt; 20min, Road maint ops have the right ln closed SB @ SE Tolman, use caution.... 	1.0
350	the People of are going back to a economy	0.0
351	UPDATED: Baby girl, two youth dead after SUV and semi collide on highway northeast of Calgary… 	1.0
352	progress or the Great Leap backwards	0.0
353	Cleared: Incident on #196197Bus from Railroad Avenue and 17A to Railroad Avenue and South Avenue	1.0
354	On SR eastbound at SR there is a collision blocking all lanes.	1.0
355	Updated: Crash in Duval on highway south before St Aug Rd, right lane blocked. Last updated at ::09PM. 	1.0
356	 Hi Inna, thank you for bringing this to our attention. We'll forward the experience to the appropriate team for training.	0.0
357	Swing through Puget Sound for the long weekend? Make a temporary Good to Go! account and avoid extra fees.… 	0.0
358	"  Malcolm x ""Ballot or Bullet""??? Statue in New York.......should it be moved?? A confede… "	0.0
359	Photo of tanker that rolled on highway over Loveland Pass, which is still closed for accident cleanup. 	1.0
360	#MapleRidge - Dewdney Trunk Road shut down in between Lougheed Highway and 203rd street due to a police incident. ^ac	1.0
361	Cleared #Casselman #Hwy417 Westbound (St Albert RD, IC /CR ). Right lane is open.	1.0
362	NB/SB from Handley Rd to Boone Ave. will be closed from : am until : pm.	1.0
363	Two Indians kidnapped in South Sudan released	0.0
364	No relief yet for sellers in	0.0
365	Cleared: Incident on #GardenStateParkway NB from North of Exit - NJ to South of Exit 140A - NJ West - southbound exit only	1.0
366	wife were split over COO	0.0
367	"Cheer on as they battle at World Series tomorrow...by donating‼️‼️ 

"	0.0
368	Get more information on alcohol and #pregnancy from ACOG at #FASDchat	0.0
369	Accident with injuries: Accident with injuries, HWY mile marker . Medics reporting heavy traffic...AVOID AREA	1.0
370	UK Parliament votes by 522 to 13 in favour of early national	0.0
371	Turnpike Roadwork on Pennsylvania Turnpike highway eastbound between Exit - highway/To PA and Exit - highway/To PA affecting any nu	1.0
372	BREAKING: Judge Mazzant sets hearing on Ezekiel Elliott’s TRO motion for Tuesday, September , , at : PM 	0.0
373	Updated: Incident on #LLine Both directions at New Lots Avenue Station 	1.0
374	for private airlines follow in revoking flying ban on Sena's	0.0
375	envoys upset by silence of and	0.0
376	From panchayat to Parliament seems to be boss Amit Shah's goal.	0.0
377	"""Nomura: “Probability Of North Korean War Breaking Out Is %”

The is most likely to change...... "	0.0
378	Updated: Construction on #US206 Both directions from South of CR /Juliustown Rd to South of CR /Chambers St 	1.0
379	Indian Navy Ships respond to Piracy Attack on Foreign Merchant Vessel in Gulf of Aden	0.0
380	How (but not failed govt's birthplace test.	0.0
381	"Tree on Power Lines on Eastbound highway EB at O'POSSUM CREEK.

 of eastbound lanes are closed and of westbound lanes are closed.

B..."	1.0
382	Bypassing highway ban	0.0
383	"""Today we'll hear from several American steel producers as well as numerous industry experts familiar with steel tr… "	0.0
384	In Bengal Trinamool vote share goes up	0.0
385	Incident on #ELine NB at Jackson Hts-Roosevelt Avenue Station 	1.0
